"id","Merk","Kamera","Memori_Internal","RAM","Baterai","Harga"
1,Xiaomi 13T,50MP,256GB,12GB,5000Mah,Rp.6.499000
2,Vivo Y17s,50MP,128GB,6GB,5000Mah,Rp.1.799000
3,Vivo V29 5G,50MP,256GB,8GB,4600Mah,Rp.6.449000
4,Realme 11,108MP,256GB,8GB,5000Mah,Rp.3.599000
5,Infinix GT 10 Pro,108MP,256GB,8GB,5000Mah,Rp.3.330000
6,Realme C51,50MP,64GB,4GB,5000Mah,Rp.1.420000
7,Redmi 12,50MP,128GB,8GB,5000Mah,Rp.1.899000
8,Vivo Y27 4G,50MP,128GB,6GB,5000Mah,Rp.1.975000
9,Vivo Y27 5G,50MP,128GB,6GB,5000Mah,Rp.2.439000
10,Samsung Galaxy Z Flip 5,12MP,256GB,8GB,3700Mah,Rp.14.299000
